job_title,job_categories,career_level,experience_year,salary,employment_type,job_responsibilities,job_qualifications,job_description
         Factory Manager        ,"[('engineering', 'manufacturing-production'), ('engineering', 'mechanical'), ('manufacturing', 'manufacturing-management')]",            Middle level           ,,Salary negotiable,          Permanent         ,"[' Job DescriptionsManaging, monitoring, and controlling all related assembly processes, making sure all conform with plans in term of quantity, quality, cost, and lead time.Planning and monitoring for machine utilization, quality improvement, and costs reduction.Utilizing assets (manpower, raw materials, machines, equipment, etc.) in the most efficiency and effective way.Being responsible for a training plan for operators, other employees, improve their skills.Collecting and analysing data and information & quality control reports to improves production strategies and objectives.Creating a good working environment and good labor relations atmosphere in all plants/factories.Job ']","['sBachelor’s Degree or higher in Mechanical Engineering or other related fields.Male, age between 41 - 47 years.At least 5 years of working experience in Factory.Good command in English and understand the operational management. ']"," Job DescriptionsManaging, monitoring, and controlling all related assembly processes, making sure all conform with plans in term of quantity, quality, cost, and lead time.Planning and monitoring for machine utilization, quality improvement, and costs reduction.Utilizing assets (manpower, raw materials, machines, equipment, etc.) in the most efficiency and effective way.Being responsible for a training plan for operators, other employees, improve their skills.Collecting and analysing data and information & quality control reports to improves production strategies and objectives.Creating a good working environment and good labor relations atmosphere in all plants/factories.Job QualificationsBachelor’s Degree or higher in Mechanical Engineering or other related fields.Male, age between 41 - 47 years.At least 5 years of working experience in Factory.Good command in English and understand the operational management. "
         Assistant Production Improvement Manager / Manager        ,"[('engineering', 'manufacturing-production'), ('manufacturing', 'manufacturing-management'), ('manufacturing', 'quality-assurance-control-testing-iso')]",            Middle level           ,            5 years experience           ,Salary negotiable,          Permanent         ,[],[],"Main Accountabilities ;Analyze the current production process and performance to identify source of loss in our operating systemsShare the performance analysis to relevant team to identify opportunity for improvementPrioritize the key improvement plan to increase the efficiency, capacity as well as productivity in productionDrive the action plan together with other functions to deliver KPI as per targetLead the production improvement program to continuously improve efficiency, capacity as well as efficiencyCollaborate with relevant function i.e, project engineering, production to design the site master plan for future filling and packing areaImplement the improvement project to support site master planKnowledge, Skills and Experience ;Bachelor’s degree or higher in Engineering or related fieldsNot over 35 years oldExperience in Improvement Process at least 3 years.KnowledgeinGMP process. KnowledgeinValidation Process (IQ,PQ,OQ)Experience in Cosmetics, Food,Consumer Goods orPharmaceutical manufacturing.English (Writing and speaking) is required "
         Production Supervisor (Monomer)        ,"[('engineering', 'chemical'), ('engineering', 'manufacturing-production'), ('manufacturing', 'manufacturing-management')]",            Middle level           ,            5 years experience           ,Salary negotiable,"          Full Time, Permanent         ","['Roles & Responsibilities:Manage production process/manpower to achieve target Planning and controlling both yield and realization rate to reach the target Supervise and motivate subordinate to achieve production target Enforcement of rules and regulations Recruiting of new operators on combination with division management Responsible for 5S in production area Communication with all concerned sections and solving problem Responsible for implementation of safety, environment, company policies and procedures in their area of work and with their subordinates']","['s:Bachelor’ s Degree in Chemical Engineering, Petrochemical or any chemical related knowledge5 – 8 years of experience in production/workshop management, manpower managementGood knowledge in chemicalKnowledge in 4M, continuous improvement, OEE, KaizenGood leadership, manpower management skill, decision making, problem solving and trouble shooting, etc.Eager to learn, Able to use software application such as Excel, Power pointGood English Skill both written and spokenInterested applicants are invited to apply in person or submit full resume in English to:Human Resources DepartmentEssilor Manufacturing (Thailand) Co., Ltd.213 Lat Krabang Industrial Estate Zone 3Chalongkrung Rd., Lamplatiew Lat krabang, Bangkok 10520Tel: 02 326 0440 Ext. 221 Fax. 02-3260444 ']","Roles & Responsibilities:Manage production process/manpower to achieve target Planning and controlling both yield and realization rate to reach the target Supervise and motivate subordinate to achieve production target Enforcement of rules and regulations Recruiting of new operators on combination with division management Responsible for 5S in production area Communication with all concerned sections and solving problem Responsible for implementation of safety, environment, company policies and procedures in their area of work and with their subordinatesQualifications:Bachelor’ s Degree in Chemical Engineering, Petrochemical or any chemical related knowledge5 – 8 years of experience in production/workshop management, manpower managementGood knowledge in chemicalKnowledge in 4M, continuous improvement, OEE, KaizenGood leadership, manpower management skill, decision making, problem solving and trouble shooting, etc.Eager to learn, Able to use software application such as Excel, Power pointGood English Skill both written and spokenInterested applicants are invited to apply in person or submit full resume in English to:Human Resources DepartmentEssilor Manufacturing (Thailand) Co., Ltd.213 Lat Krabang Industrial Estate Zone 3Chalongkrung Rd., Lamplatiew Lat krabang, Bangkok 10520Tel: 02 326 0440 Ext. 221 Fax. 02-3260444 "
         SALES EXECUTIVE  (Business Assurance)        ,"[('manufacturing', 'manufacturing-management')]",,,Salary negotiable,          Full Time         ,[],[],"Key responsibilities:Present and sell company products and services to current and potential clientsPrepare action plans and schedules to identify specific targets and to project the number of contacts to be made Identify and contact sales prospects and other accounts as assignedDevelop and maintain sales materials and current product knowledgePrepare status reports including activity, closing, follow-up and adherence to goalsCoordinate company staff to accomplish the work required to close salesAny other duties assigned as the company deem appropriate.Key requirement:Degree in engineering or equivalent with minimum 1 year working experience in Sales.Service-oriented with good command of spoken and written English.Preferably with sales experience in product testing and certification or similar industries.Must own car with a valid driver license.Ability to persuade and influence others.Ability to develop and deliver presentations.Strong interpersonal and communication skills.5-day workweek, attractive remuneration and benefits will be offered to the right persons.Interested applicants are invited to apply in person or send application with full resume indicating qualifications and experience, transcript, expected salary and recent photo to:TUV SUD (Thailand) Limited111 Moo 9, Paholyothin Road,T. Klong Nueng, A. KLong LuangPathumthani 12120Tel. 02-564-8041 # 119[emailprotected] tuv-sud.co.thVisit Website: www.tuv-sud.co.th "
         Supervisor Production/หัวหน้างานส่วนผลิต        ,"[('engineering', 'maintenance'), ('engineering', 'manufacturing-production'), ('manufacturing', 'manufacturing-management')]",            Middle level           ,            3 years experience           ,Salary negotiable,          Permanent         ,[],[],"รายละเอียดงานวางแผนและดำเนินการตามแผนการผลิต การบำรุงรักษาเครื่องจักรในงานผลิต การวางแผนการใช้กำลังคนและทรัพยากรการผลิตให้เกิดประโยชน์สูงสุดการควบคุมงานทั่วไป และงานอื่นที่ผู้บังคับบัญชามอบหมายคุณสมบัติเพศ : ชาย/หญิงอายุ :25 ปีขึ้นไป วุฒิการศึกษา : ปริญญาตรีขึ้นไปสาขาวิศวกรรมศาสตร์,วิทยาศาสตร์ด้านอาหาร หรือที่เกี่ยวข้องผ่านงานการควบคุมกระบวนการผลิตด้านอาหารและเครื่องดื่มอย่างน้อย 5 ปีเคยทำงานในระดับ Supervisor มาก่อน มีความรู้ในระบบคุณภาพ เช่น GMP,HACCP,FSSC22000,HALAL เป็นต้นมีความรู้ด้านคอมพิวเตอร์ และ ภาษาอังกฤษ สามารถทำงานเป็นกะหรือปรับเปลี่ยนเวลาได้ สวัสดิการโบนัส(ตามผลประกอบการ) ปรับฐานเงินเดือนประจำปี กองทุนประกันสังคม กองทุนสำรองเลี้ยงชีพ เบี้ยขยันทุกไตรมาส (ไตรมาสละ 3,000 บาท) ระดับปฏิบัติการ - ผู้ช่วยผู้จัดการค่าครองชีพ 500 บาทต่อเดือน ประกันอุบัติเหตุ,ประกันผู้ป่วยใน/ผู้ป่วยนอกตรวจสุขภาพประจำปี ชุดยูนิฟอร์ม ฟรี อาหารมื้อกลางวัน/มื้อกลางคืน ฟรี รถตู้รับส่งพนักงานสายอยุธยา,รังสิต,สุทธิสารการอบรมและพัฒนาศักยภาพในการทำงาน และสายอาชีพอย่างต่อเนื่องผู้ที่สนใจกรุณาส่งใบสมัครงาน พร้อมรูปถ่าย เงินเดือนปัจจุบันและเงินเดือนที่คาดหวังของท่านผ่านทางสมัครงาน/Apply Nowด้านล่าง หรือ ส่งเอกสารมายังบริษัท อิชิตันกรุ๊ป จำกัด (มหาชน)111/1 ม.4 ต.อุทัย อ.อุทัย จ.พระนครศรีอยุธยา (สาขาโรจนะ) 13210โทร.035-276-111 ต่อ 703มือถือ.084-438-7693 "
         Production Supervisor (1 year contract)        ,"[('manufacturing', 'manufacturing-management'), ('manufacturing', 'production-planning-control')]",            Middle level           ,            1 year experience           ,Salary negotiable,"          Contract, Full Time, Temporary         ",[],[],"Job Function:Review production schedule from Planning section, prepare relevant resources e.g. manpower, supplies and machine conditionsMonitor line performance to reach daily, weekly, monthly production and quality targetsLead and support improvement QCC or Kaizen projectsSupervise, develop and motivate all subordinates to achieve production output targets and over productivity goalsEncourage stron awareness of safety environment, high performance standard, teamwork, disciplinary and 5s in work placeFacilitate all activities that support safety environment, labor standard and other projects in the responded areaProduce necessary reports such as daily and monthly productivity and problems to upper managementCoordinate with suport groups, supervise subordinates in making decision to resolve front line basic problemsVertical and horizontal communicate all necessary and appropriate information to concerned peopleJob Requirements:Bachelor Degree in Industrial or Electrical Engineering or related fieldAbility of manpower planning in manufacturing siteKnowledge of Lean Manufacturing and Six Sigma will be advantageStrong and inluencing Interpersonal communication and leadership skillsGood communicative English skill in reading, speaking and writingBenefits will be provided to the successful candidates as per the followings: Provident Fund (max to 7%), 15% Housing Allowance, Food Allowance, Fixed and Variable Bonus, Life & Accident Insurance, Health Insurance (also cover immediate family members) etc.,Only shortlisted applicants will be contacted via email/telephone for an interview. Your application and resume should be sent by click""Apply Now""Interested candidates are invited to write in with full resume, stating present and expected salaries, and enclosing a recent photograph toHR DepartmentEmerson Electric (Thailand) Ltd.Eastern Seaboard Industrial Estates24 Moo 4, Tambol Pluak Daeng, Amphur Pluak Daeng, Rayong 21140Tel (038) 957000 Ext. 7300Website: www.emerson.com "
         QC Manager        ,"[('manufacturing', 'manufacturing-management'), ('manufacturing', 'product-development-management'), ('manufacturing', 'quality-assurance-control-testing-iso')]",            Senior level           ,,Salary negotiable,"          Full Time, Permanent         ","['Job DescriptionIdentify superior quality of product and communicate to Product Management teamsReject and document product that does not meet specificationsRequest 3rd party inspections, if necessary, and facilitate sampling processInspect inbound product according to established Standard Operating Procedures and specifications which includes random sampling and defect identificationVerify and issue credits for quality claimsFacilitate returns to vendors and complete documentation']","['Bachelor or Master Degree in Faculty of Science, Faculty of Pharmacy, Faculty of Engineering, and other related fields.If have experience in Home Shopping will be an advantageStrong analytical, project management, leadership and strategic thinking skillsCreative, self-motivated, high commitment and eager to learn.Positive attitude, able to work independently and as a team. ']","Job DescriptionIdentify superior quality of product and communicate to Product Management teamsReject and document product that does not meet specificationsRequest 3rd party inspections, if necessary, and facilitate sampling processInspect inbound product according to established Standard Operating Procedures and specifications which includes random sampling and defect identificationVerify and issue credits for quality claimsFacilitate returns to vendors and complete documentationQualificationBachelor or Master Degree in Faculty of Science, Faculty of Pharmacy, Faculty of Engineering, and other related fields.If have experience in Home Shopping will be an advantageStrong analytical, project management, leadership and strategic thinking skillsCreative, self-motivated, high commitment and eager to learn.Positive attitude, able to work independently and as a team. "
         Thailand & Vietnam Supply Chain Lead        ,"[('manufacturing', 'manufacturing-management')]",            Top level           ,            10 years experience           ,Salary negotiable,          Full Time         ,"['Position Purpose & Summary:Responsible for the strategic direction, development and end-to-end leadership of all supply chain capabilities (direct management of Demand Management, Supply Planning, Network Optimization, Order Fulfillment & Customer Service for Thailand and Vietnam (TVN) supply chain organizations; indirect leadership of Logistics by working closely with CTL) for the CAN & CQN Platform across TVN. This position works closely with the ANH(CAN/CQN) APAC Supply Chain Director to improve a set of core capabilities important to the delivery of our OWN2025 strategy. This role also partners closely with the TVN Managing Directors, and the Operations Leads to assess supply chain structure and talent capability supporting the local business strategies and goals, and to identify and prioritize specific opportunities to implement capabilities in the business. This individual will monitor a core set of supply chain metrics, aligned with the APAC/global measurement framework, and be responsible for establishing a baseline assessment of businesses in TVN and driving continuous improvement across those key metrics. This position will coordinate the IBP process for the business and align supply chain design, processes and systems with BU strategy appropriate for TVN. The TVN Supply Chain Lead will be a member of the TVN business leadership teams and be regarded as the leader of supply chain capabilities in TVN.Principal Accountabilities:30% STRATEGY AND PLANNING- Directs implementation of supply chain long term vision and strategic direction aligned with the regional and global direction for the Enterprise, including long-range objectives, policies and strategy.- Responsible for ensuring functional policies and best practices are incorporated into regional strategies.- Actively participates in development, review, and update of the regional strategy, annual operating plans and the related budgets as well as setting annual targets for KPI’s regarding productivity, service, planning effectiveness, and inventory across the TVN supply chain- Plays an active role in the creation, communication, roll-out, providing oversight and review of the functional domain specific strategies and visions to enable business strategy- Leads Cargill Integrated Business Planning (CIBP) process for the business including overall coordination of the process- Directs the implementation and sustainment of the Integrated Business Planning process across TVN organization20% PERFORMANCE MANAGEMENT- Oversees execution of centrally owned supply chain KPI reporting (key performance indicators) and dashboard reporting for TVN- Responsible to ensure business adherence to Cargill and BOSC required metrics as well as the consistent reporting of results delivering measurable business value.- Facilitates and approves measures to improve on customer reliability and service level agreements, as well as action plans to improve on customer service30% TRANSFORMATION AND CONTINUOUS IMPROVEMENT- Defines opportunities to drive the organization to deliver measurable value for Cargill and the Enterprise driving improved end-to-end supply chain performance in multiple areas (e.g. increased customer experience, reduced costs, reduced working capital, improved expectations from Cargill) enabling the supply chain to become a competitive advantage.- Facilitates the development of strong relationships with other functional leaders (e.g. finance, commercial, marketing, operations, etc.) to enable the growth and continuation of the growth and development of Supply Chain improvement and process optimization.- Directs and defines projects and process improvements in the end-to-end supply chain organization for TVN to drive continuous improvement to excellence standards.- Using an advanced understanding of supply chain practices and procedures, facilitates the development and drives implementation of BOSC processes, and ensures best practices are shared. Examples include best practice identification, documentation, accountability and sharing within the BU, across BU’s and externally.- Oversees execution within TVN of centrally owned operational business processes, such as Cargill Integrated Business Planning (CIBP) and budget cycles- Directs and defines the development of innovative end-to-end supply chain solutions through applying an expert understanding of supply chain practices and procedures20% LEADERSHIP AND TALENT MANAGEMENT- Oversees and provides leadership for the integration of multiple areas of the supply chain in TVN and across business and functional lines, such as customer service, planning, strategic sourcing/procurement, plant operations, and transportation & logistics (i.e. order, plan, source, make, deliver)- Contributing member of the regional supply chain and sub-regional business leadership teams- Provides oversight and guidance to china supply chain teams for ensuring customer expectations are met from planning through order fulfillment.- Utilizing an advanced understanding of supply chain practices and procedures, develops a strong understanding of customer needs through building internal and external relationships to provide optimal service to Cargill’s customers.- Utilizes advanced supply chain understanding to build strong supply chain organization of direct and indirect reports through identifying, coaching and mentoring supply chain professionals.- Oversees talent management effort to recruit, retain and engage top talent within the countries.Education, Experience, Skills:Minimum Required Qualifications- 10 years Supply Chain Management experience- Bachelor degree in Transportaion, Business, Supply Chain or Operations/related field or equivalent experience- Demonstrated ability across multiple supply chain compentencies: Logistics, Demand Management, Customer Service, etc. with at least 5 years in Supply Chain Planning- Demonstrated ability to connect functional execution to business strategy- Demonstrated strong communication skills- Demonstrated strong relationship building skills; effectively builds trust across work groups- Demonstrated ability to influence at the senior leadership level of an organization- Able to lead amidst ambiguity and change; able to influence without direct line authority- Demonstrated strategic and analytical skills- Results orientation- Good written and verbal English skillsPreferred ']","['s- 10 years Supply Chain Management experience- Bachelor degree in Transportaion, Business, Supply Chain or Operations/related field or equivalent experience- Demonstrated ability across multiple supply chain compentencies: Logistics, Demand Management, Customer Service, etc. with at least 5 years in Supply Chain Planning- Demonstrated ability to connect functional execution to business strategy- Demonstrated strong communication skills- Demonstrated strong relationship building skills; effectively builds trust across work groups- Demonstrated ability to influence at the senior leadership level of an organization- Able to lead amidst ambiguity and change; able to influence without direct line authority- Demonstrated strategic and analytical skills- Results orientation- Good written and verbal English skillsPreferred Qualifications- APICS certification- Knowledge of quality management systems, operational excellence, process improvement, six sigma- SAP ERP and Advanced Planning Experience - Billingual (English plus another major language within the region) ']","Position Purpose & Summary:Responsible for the strategic direction, development and end-to-end leadership of all supply chain capabilities (direct management of Demand Management, Supply Planning, Network Optimization, Order Fulfillment & Customer Service for Thailand and Vietnam (TVN) supply chain organizations; indirect leadership of Logistics by working closely with CTL) for the CAN & CQN Platform across TVN. This position works closely with the ANH(CAN/CQN) APAC Supply Chain Director to improve a set of core capabilities important to the delivery of our OWN2025 strategy. This role also partners closely with the TVN Managing Directors, and the Operations Leads to assess supply chain structure and talent capability supporting the local business strategies and goals, and to identify and prioritize specific opportunities to implement capabilities in the business. This individual will monitor a core set of supply chain metrics, aligned with the APAC/global measurement framework, and be responsible for establishing a baseline assessment of businesses in TVN and driving continuous improvement across those key metrics. This position will coordinate the IBP process for the business and align supply chain design, processes and systems with BU strategy appropriate for TVN. The TVN Supply Chain Lead will be a member of the TVN business leadership teams and be regarded as the leader of supply chain capabilities in TVN.Principal Accountabilities:30% STRATEGY AND PLANNING- Directs implementation of supply chain long term vision and strategic direction aligned with the regional and global direction for the Enterprise, including long-range objectives, policies and strategy.- Responsible for ensuring functional policies and best practices are incorporated into regional strategies.- Actively participates in development, review, and update of the regional strategy, annual operating plans and the related budgets as well as setting annual targets for KPI’s regarding productivity, service, planning effectiveness, and inventory across the TVN supply chain- Plays an active role in the creation, communication, roll-out, providing oversight and review of the functional domain specific strategies and visions to enable business strategy- Leads Cargill Integrated Business Planning (CIBP) process for the business including overall coordination of the process- Directs the implementation and sustainment of the Integrated Business Planning process across TVN organization20% PERFORMANCE MANAGEMENT- Oversees execution of centrally owned supply chain KPI reporting (key performance indicators) and dashboard reporting for TVN- Responsible to ensure business adherence to Cargill and BOSC required metrics as well as the consistent reporting of results delivering measurable business value.- Facilitates and approves measures to improve on customer reliability and service level agreements, as well as action plans to improve on customer service30% TRANSFORMATION AND CONTINUOUS IMPROVEMENT- Defines opportunities to drive the organization to deliver measurable value for Cargill and the Enterprise driving improved end-to-end supply chain performance in multiple areas (e.g. increased customer experience, reduced costs, reduced working capital, improved expectations from Cargill) enabling the supply chain to become a competitive advantage.- Facilitates the development of strong relationships with other functional leaders (e.g. finance, commercial, marketing, operations, etc.) to enable the growth and continuation of the growth and development of Supply Chain improvement and process optimization.- Directs and defines projects and process improvements in the end-to-end supply chain organization for TVN to drive continuous improvement to excellence standards.- Using an advanced understanding of supply chain practices and procedures, facilitates the development and drives implementation of BOSC processes, and ensures best practices are shared. Examples include best practice identification, documentation, accountability and sharing within the BU, across BU’s and externally.- Oversees execution within TVN of centrally owned operational business processes, such as Cargill Integrated Business Planning (CIBP) and budget cycles- Directs and defines the development of innovative end-to-end supply chain solutions through applying an expert understanding of supply chain practices and procedures20% LEADERSHIP AND TALENT MANAGEMENT- Oversees and provides leadership for the integration of multiple areas of the supply chain in TVN and across business and functional lines, such as customer service, planning, strategic sourcing/procurement, plant operations, and transportation & logistics (i.e. order, plan, source, make, deliver)- Contributing member of the regional supply chain and sub-regional business leadership teams- Provides oversight and guidance to china supply chain teams for ensuring customer expectations are met from planning through order fulfillment.- Utilizing an advanced understanding of supply chain practices and procedures, develops a strong understanding of customer needs through building internal and external relationships to provide optimal service to Cargill’s customers.- Utilizes advanced supply chain understanding to build strong supply chain organization of direct and indirect reports through identifying, coaching and mentoring supply chain professionals.- Oversees talent management effort to recruit, retain and engage top talent within the countries.Education, Experience, Skills:Minimum Required Qualifications- 10 years Supply Chain Management experience- Bachelor degree in Transportaion, Business, Supply Chain or Operations/related field or equivalent experience- Demonstrated ability across multiple supply chain compentencies: Logistics, Demand Management, Customer Service, etc. with at least 5 years in Supply Chain Planning- Demonstrated ability to connect functional execution to business strategy- Demonstrated strong communication skills- Demonstrated strong relationship building skills; effectively builds trust across work groups- Demonstrated ability to influence at the senior leadership level of an organization- Able to lead amidst ambiguity and change; able to influence without direct line authority- Demonstrated strategic and analytical skills- Results orientation- Good written and verbal English skillsPreferred Qualifications- APICS certification- Knowledge of quality management systems, operational excellence, process improvement, six sigma- SAP ERP and Advanced Planning Experience - Billingual (English plus another major language within the region) "
         Plant Manager-Eastern        ,"[('manufacturing', 'manufacturing-management')]",            Senior level           ,            10 years experience           ,Salary negotiable,          Full Time         ,"['Our client is an International plastic forming company with operational bases across the globe. The Operation in Rayong needs a Plant Manager who has experience in looking after the whole operation, from sourcing to operation, quality management, CAPEX, safety and delivery.Roles & Responsibilities.Hands on manager who worked closely with operation team to ensure best product quality, and high standard of operation management.Focus on budget, budget planning, resource allocation and cost saving. Ensure that team deliver with best performance. Knowledge and experienced in improvement projects. On-time delivery and ensure best customer satisfaction. Support customers if there is any problems.']",[':+10years experience in plastic injection molding Degree or higher in Engineering or related subjects. Fluent in English.  '],"Our client is an International plastic forming company with operational bases across the globe. The Operation in Rayong needs a Plant Manager who has experience in looking after the whole operation, from sourcing to operation, quality management, CAPEX, safety and delivery.Roles & Responsibilities.Hands on manager who worked closely with operation team to ensure best product quality, and high standard of operation management.Focus on budget, budget planning, resource allocation and cost saving. Ensure that team deliver with best performance. Knowledge and experienced in improvement projects. On-time delivery and ensure best customer satisfaction. Support customers if there is any problems.Qualification:+10years experience in plastic injection molding Degree or higher in Engineering or related subjects. Fluent in English.  "
         Production Control Supervisor @Rayong (26K – 28K) (SDG-52840)        ,"[('manufacturing', 'general-production'), ('manufacturing', 'manufacturing-management'), ('manufacturing', 'production-planning-control')]",            Middle level           ,            3 years experience           ,Salary negotiable,"          Full Time, Permanent         ",[],[],"<Job Responsibilities>Management and control the master production schedule (MPS) to be consistent with customer's requirement.Management Raw material and parts inventory from the result of planning to be consistent of standard for minimize inventory cost of company.Summary report inventory and Sales every month.Management supplier delivery performance both local and oversea.Issue a purchase order for suppliers.Strategically plan and manage logistics,warehouse,transportation and customer services.Control finished goods on time delivery to customer.Resolve any arising problems or complaints.Manage team with smooth operation.<Necessary Skill / Experience >Thai nationality , Male/Female age 35 – 45 years oldDiploma in Engineering or related fieldHave experience at least 3 years about Production Control in Automotive IndustryHave management experience ( have subordinate ) at least 2 years about Production Control in Automotive IndustryAble to use Microsoft Office programBasic level of English ( Be able to reading and writing )Have Knowledge of IATF 16949 and ISO 14001<Preferable Skill / Experience>Able to use Crane or ForkliftHave Knowledge about BOILanguages skillsEnglish:Basic LevelJapanese:NoneWorkplace Area: Amata City Industrial Estate, RayongWorking Hour: 8:00-17:00(Saturday Working: Every other Saturday)About theBenefitsSalary: 26,500–28,500THBAbout the companyProducts: Water pumps, Mechanical transmission parts, Automotive partsBusiness Type: Automobiles / Automobile PartsHOW TO APPLY,*** Please submit your resume with photo, your current & expected salary, and reference: Production Control Supervisor (26K – 28K) (SDG-52840)*** Any query regarding this Job or application method, please call Tel. 02-021-0333RGF HR Agent Recruitment (Thailand) Co., Ltd.（株式会社リクルートホールディングスタイ法人）689 BHIRAJ TOWER at EmQuartier, 23rd Floor, Room No. 2304-2306Sukhumvit Road, North Klongton Sub-District, Vadhana District, Bangkok 1011Tel: 02-021-0333Website : www.rgf-hragent.asia/en/thailandfind us on Facebook:RGF Thailand "
