job_title,job_categories,career_level,experience_year,salary,employment_type,job_responsibilities,job_qualifications,job_description,min_salary,max_salary,high_comission,negotiable,experience_fill
Event Sales and Marketing /เจ้าหน้าที่การขายและการตลาดประจำอีเว้นท์,"[('sales-cs-business-devpt', 'customer-service'), ('admin-hr', 'training-development'), ('sales-cs-business-devpt', 'account-servicing')]",,,THB20000 - 30000 /month,"Freelance, Full Time, Part Time",[],[],"“เรากำลังมองหาคนรุ่นใหม่ไฟแรงที่ชอบกิจกรรมประชาสัมพันธ์ การขาย การตลาดและมองหาคนที่ไม่ชอบอยู่กับที่ ไม่ชอบความจำเจหากชอบงานออฟฟิศ ที่นี่คงไม่เหมาะกับคุณ”ลักษณะหน้าที่การทำงานทำการขายในรูปแบบกิจกรรมอีเว้นท์ ทั้ง Indoor และ Outdoorประชาสัมพันธ์ข้อมูลของสินค้าหรือการบริการเรียนรู้และพัฒนาทักษะด้านการขาย การตลาดและบุคลิกภาพคุณสมบัติที่เรามองหาชาย/หญิงสัญชาติไทยอายุ 20-30 ปีชอบทำงานนอกสถานที่ กระตือรือร้น ร่าเริงยินดีรับนักศึกษาจบใหม่หรือผู้ไม่มีประสบการณ์ด้านการขายสามารถรับมือกบความกดดันและคำปฏิเสธได้ถ้ามีประสบการณ์ทางด้านการขายจะพิจารณาเป็นพิเศษผลประโยชน์-โอกาสในการก้าวหน้าขึ้นสู่ตำแหน่งผู้บริหาร-โบนัสพิเศษตามผลงาน-มีการฝึกสอนเทคนิคการขายและพัฒนาบุคลิกภาพโดยทีมงานมืออาชีพ-ทริปท่องเที่ยว รวมถึงโอกาสได้ไปศึกษาดูงานทั้งในและต่างประเทศถ้าคุณคิดว่านี่คืองานที่ใช่สำหรับคุณมาร่วมเป็นส่วนหนึ่งกับเราได้ที่PHENOMENON ENTERPRISE CO., LTD.128/120 Phayatai Plaza Tower,11th Floor,Unit 120,Payathai Rd.Thung Payathai,Ratchatewi,Bangkok,Thailand 10400Telephone: 02-016-1315WebSite: www.PhenomenonEnterprise.comFacebook:https://www.facebook.com/phenomenonenterprise/Instagram:phenomenonenterprise",20000,30000,False,False,
Rider Registration Admin (1-year contract),"[('admin-hr', 'administration-operation-clerical-support')]",,,Salary provided,Contract,"['[Responsibilities]Monitor LINE MAN rider registration, review, approve or reject as per company policyMaintain and organize all LINE MAN and Rider documentationCorrect daily data on the number of rider registrationEnsure that trained riders have their registration approvedSupport the team to submit requests for business trips as per company policy[']","['s]Bachelor’s degree or higher in a related fieldAt least 1 year of relevant working experience is a plusStrong communication and interpersonal skillsCritical thinking and problem-solving skillsAbility to work overtime and on weekend[Location]LINE MAN Head Office, Gaysorn Tower, Bangkok ']","[Responsibilities]Monitor LINE MAN rider registration, review, approve or reject as per company policyMaintain and organize all LINE MAN and Rider documentationCorrect daily data on the number of rider registrationEnsure that trained riders have their registration approvedSupport the team to submit requests for business trips as per company policy[Qualifications]Bachelor’s degree or higher in a related fieldAt least 1 year of relevant working experience is a plusStrong communication and interpersonal skillsCritical thinking and problem-solving skillsAbility to work overtime and on weekend[Location]LINE MAN Head Office, Gaysorn Tower, Bangkok",,,False,False,1 year
Data Entry/คนป้อนข้อมูล,"[('admin-hr', 'administration-operation-clerical-support')]",,,Salary provided,"Contract, Part Time, Temporary",[],[],ป้อนข้อมูลทางคอมพิวเตอร์ใช้เมาส์ลากเส้นวงคำหรือสิ่งที่ต้องการในรูปทำงานที่ไซต์เท่านั้น 9.00-17.00 หรือ 10.00-18.00 พักกลางวันได้หนึ่งชั่วโมง,,,False,False,
"Japanese Speaking General Affair (N2) / 35k-60k / Bangphli, Samutprakarn / Electronics Parts","[('admin-hr', 'secretary-personal-assistant'), ('admin-hr', 'employee-relations'), ('professional-services', 'translation')]",,,Salary provided,"Full Time, Permanent","['Position: Japanese Speaking General Affair (N2)Industry: Electronics PartsTotal Package: 35,000 - 60,000 THBWorking location: Bang Phli, SamutprakarnWorking Hours: Monday - Friday, Alternate SaturdayJob Description:Manage employee-related activities and personnel programResponsible for Visa and Work Permit for Japanese employeesMonitoring the inventory of office supplies and responsible for those to be prepared properly.Prepare documents/report for Head QuarterSchedule management of the whole companyHandle other tasks as assigned by Japanese Manager']","[':Any Gender, Age 30 - 40 years old.Bachelor’s Degree in any related fieldMore than 2 year experience iin any related field. GA or Admin is preferGood command of Japanese (N2) and communicable in EnglishFlexible and able to work under pressure.Benefits:Annual salary incrementBonus Group Insurance (AIA)If interested, Please contact Khun Nack, Tel: 066-097-2935 ']","Position: Japanese Speaking General Affair (N2)Industry: Electronics PartsTotal Package: 35,000 - 60,000 THBWorking location: Bang Phli, SamutprakarnWorking Hours: Monday - Friday, Alternate SaturdayJob Description:Manage employee-related activities and personnel programResponsible for Visa and Work Permit for Japanese employeesMonitoring the inventory of office supplies and responsible for those to be prepared properly.Prepare documents/report for Head QuarterSchedule management of the whole companyHandle other tasks as assigned by Japanese ManagerQualification:Any Gender, Age 30 - 40 years old.Bachelor’s Degree in any related fieldMore than 2 year experience iin any related field. GA or Admin is preferGood command of Japanese (N2) and communicable in EnglishFlexible and able to work under pressure.Benefits:Annual salary incrementBonus Group Insurance (AIA)If interested, Please contact Khun Nack, Tel: 066-097-2935",,,False,False,"2)Industry: Electronics PartsTotal Package: 35,000 - 60,000 THBWorking location: Bang Phli, SamutprakarnWorking Hours: Monday - Friday, Alternate SaturdayJob Description:Manage employee-related activities and personnel programResponsible for Visa and Work Permit for Japanese employeesMonitoring the inventory of office supplies and responsible for those to be prepared properly.Prepare documents/report for Head QuarterSchedule management of the whole companyHandle other tasks as assigned by Japanese ManagerQualification:Any Gender, Age 30 - 40 years old.Bachelor’s Degree in any related fieldMore than 2 year"
Senior Payroll Specialist,"[('admin-hr', 'compensation-benefits')]",,,THB35000 - 45000 /month,"Full Time, Permanent",[],[],"Senior Payroll SpecialistAre you a senior payroll specialist Rockstar who wants to be part of our team for one of the biggest BPO company in the world? Are you passionate, driven, and can deliver outstanding customer service experience? We are looking for a Senior Payroll Specialist to join our growing family. Come home and start your #BeHappier journey with TDCX today! Top reasons to work here:Above-industry average salaryGroup life insurance starting on day oneAnnual bonus based on performanceProvident Fund10 Annual Leave creditsPremium & Instagrammable workspaces2 days off per weekFree overflowing coffee and cookiesLearning courses to help you growCareer development programsEngagement activities like free food day, wellness programme, anniversary gifts, contests, annual partyand much more! What is your mission?You are also required to perform these job functions:Providing comprehensive support to the Head of Reward & Performance in all matters relating to the accurate and timely processing of payroll, HR reporting; Preparation and processing of the monthly payroll for local and expat staff also in close cooperation with payroll consultants and Accounting Departments; Support benefits administration including enrolling and maintaining employee benefits programs, invoices for payment, communicating benefits information to employees. (Thai-Expat employees) Managing client project that in our company’s responsibility.Administrating, updating and supporting the implementation of company.Who are we looking for?Bachelor'sdegree in related facultyExperienced in Payroll careerpath for 3-5 years and specialist level at least 1 yearExperienced to work in company which included Thai and Expat employee a must(Multi-nation company will be an advantage)Invoices for payment,communicating benefits information at least 100 employeesStrong MS Office skills, includingPayroll's ProgramIntermediate in EnglishAbility to organize, multitask, and prioritize in deadline-driven environmentWho is TDCX? We serve some of the world’s best brands from our centers of excellence in Singapore, Philippines, Malaysia, Thailand, Hong Kong, China, Japan and Spain. We specialize in perfecting our client's customer experience and elevating their sales.We are guided by a talent philosophy - selecting and employing the best professionals to make the outsource industry better for our people and our clients.Our company has won over 200 industry awards for delivering value driven by technology and continuously innovating our customer-facing brand solutions. Thanks to our premium workspaces, above industry average compensation packages, career opportunities, and long list of perks, we were recently awarded as one of the best companies to work for in Asia.",35000,45000,False,False,"10 Annual Leave creditsPremium & Instagrammable workspaces2 days off per weekFree overflowing coffee and cookiesLearning courses to help you growCareer development programsEngagement activities like free food day, wellness programme, anniversary gifts, contests, annual partyand much more! What is your mission?You are also required to perform these job functions:Providing comprehensive support to the Head of Reward & Performance in all matters relating to the accurate and timely processing of payroll, HR reporting; Preparation and processing of the monthly payroll for local and expat staff also in close cooperation with payroll consultants and Accounting Departments; Support benefits administration including enrolling and maintaining employee benefits programs, invoices for payment, communicating benefits information to employees. (Thai-Expat employees) Managing client project that in our company’s responsibility.Administrating, updating and supporting the implementation of company.Who are we looking for?Bachelor'sdegree in related facultyExperienced in Payroll careerpath for 3-5 years and specialist level at least 1 year"
Assistant to CEO (Thai nationality),"[('admin-hr', 'secretary-personal-assistant'), ('media-advertising', 'strategic-planning')]",,,Salary negotiable,"Full Time, Permanent","['As Assistant to CEO you will not be a secretary – you will be the right hand of our Chief Executive Officer and act as the liaison between the CEO and other stakeholders in and outside the company. You will take on crucial strategic projects and trivial day-to-day tasks with the same level of enthusiasm, diligence, and professionalism. With your killer work ethic, top-notch problem-solving skills & ability to work on complex tasks independently you will enable our CEO to be more effective and efficient in steering the company. A successful Assistant to the CEO will have gained 360-degree exposure to all areas of our business and will be well prepared to take over a management position in the company in the long run.Responsibilities:Working directly with the Chief Executive Officer (CEO) on day-to-day tasks and strategic projectsTaking extreme ownership of both important and trivial tasks, independently driving their execution, and reporting results back to the CEOActing as the link between the CEO and key stakeholders within and outside of the companySupporting the CEO with the preparation of meetings, management reports, and other important documentsAttending important meetings together with or on behalf of the CEOEnabling the CEO to focus on crucial tasks by proactively identifying and providing solutions toAd-hoc challenges and problems that arise in a fast-paced environment']","['s:Bachelor’s degree or higher in Business Administration, Engineering or related fieldsComfortable in a fast-paced environment. Preferably with previous experience in a highly dynamic environment, such as fast-growing start-ups, consultancies or oil rigs (you get the idea) Self-starter with strong work ethic and extreme ownership of tasksTop-notch problem-solving skills and the mindset of embracing and running towards problems rather than leaving them for others to solveComfortable working on multiple tasks at once with ever-shifting priorities and against tight deadlinesStrong and confident communicator, capable of liaising with important internal and external stakeholders such as other C-Levels, investors, clients, and strategic partnersGood sense of humor and positive attitude – particularly when faced with challengesWillingness to learn and determination to become a leader not a followerAt least a basic knowledge of digital marketingFluent in both English and Thai ']","As Assistant to CEO you will not be a secretary – you will be the right hand of our Chief Executive Officer and act as the liaison between the CEO and other stakeholders in and outside the company. You will take on crucial strategic projects and trivial day-to-day tasks with the same level of enthusiasm, diligence, and professionalism. With your killer work ethic, top-notch problem-solving skills & ability to work on complex tasks independently you will enable our CEO to be more effective and efficient in steering the company. A successful Assistant to the CEO will have gained 360-degree exposure to all areas of our business and will be well prepared to take over a management position in the company in the long run.Responsibilities:Working directly with the Chief Executive Officer (CEO) on day-to-day tasks and strategic projectsTaking extreme ownership of both important and trivial tasks, independently driving their execution, and reporting results back to the CEOActing as the link between the CEO and key stakeholders within and outside of the companySupporting the CEO with the preparation of meetings, management reports, and other important documentsAttending important meetings together with or on behalf of the CEOEnabling the CEO to focus on crucial tasks by proactively identifying and providing solutions toAd-hoc challenges and problems that arise in a fast-paced environmentQualifications:Bachelor’s degree or higher in Business Administration, Engineering or related fieldsComfortable in a fast-paced environment. Preferably with previous experience in a highly dynamic environment, such as fast-growing start-ups, consultancies or oil rigs (you get the idea) Self-starter with strong work ethic and extreme ownership of tasksTop-notch problem-solving skills and the mindset of embracing and running towards problems rather than leaving them for others to solveComfortable working on multiple tasks at once with ever-shifting priorities and against tight deadlinesStrong and confident communicator, capable of liaising with important internal and external stakeholders such as other C-Levels, investors, clients, and strategic partnersGood sense of humor and positive attitude – particularly when faced with challengesWillingness to learn and determination to become a leader not a followerAt least a basic knowledge of digital marketingFluent in both English and Thai",,,False,True,
เจ้าหน้าที่ประสานงาน,"[('admin-hr', 'administration-operation-clerical-support')]",,,Salary provided,Permanent,[],[],"หน้าที่ความรับผิดชอบ :วิเคราะห์ข้อมูลความพึงพอใจลูกค้า ในแผนกที่เกี่ยวข้องทำสรุปรายงานผลการวิเคราะห์จัดส่งให้กับผู้เกี่ยวข้องในแต่ละแผนกและจัดทำรายงานนำเสนอให้กับผู้บริหารรับทราบ ติดตามประสานงานกับทีมและผู้เกี่ยวข้อง เพื่อนำผลที่ได้มาสรุปและแก้ไขงานมีประสิทธิภาพในการปฎิบัติงาน และมีผลคะแนนความพึงพอใจที่สูงขึ้น วางแผนงาน และติดต่อประสานงาน และสรุปแผนงานในการปฎิบัติกับผู้ที่เกี่ยวข้องรับทราบคุณสมบติ :วุฒิป.ตรี สาขาสาขาสถิติหรือสาขาอื่นๆที่เกี่ยวข้องยินดีรับเด็กจบใหม่ หรือมีประสบการณ์ 1-2 ปีมีประสบการณ์ในด้านของการวิเคราะห์, Data Analysis, Researchสามารถใช้โปรแกรมคอมพิวเตอร์พื้นฐานได้สามารถวิเคราะห์ผลทางสถิติจากData Base ได้มีความเข้าใจด้านการประเมินผลและวิเคราะห์ผล เชิงตัวเลขและสามารถนำเสนอข้อมูลได้มี Service mind, เรียนรู้เร็ว",,,False,False, 1-2 ปี
Executive Secretary (Chinese - English Speaking),"[('admin-hr', 'secretary-personal-assistant')]",,,Salary provided,"Full Time, Permanent","[""Responsibilities:-Provide all secretarial & administrative support functions for CEO; handle e-mails & correspondences and requests, and take care of travel arrangements such as tentative travelling schedule, hotel & accommodation reservation, and air-ticket booking etc.- Make Appointments, and manage CEO's Calendars and Business Schedules including prepare for internal and external meetings & events to ensure that the CEO’s Timetable runs smoothly.-Record and publish all Minutes after any meetings in well-timed period- Act as liaison for CEO both internal and external matters by professionallyinteract with both internal and external executive management teams and internally coordinate with every department and division-Review contracts and other business documents, and translate them from Thai to Chinese and English including instantly interpret from Thai toChinese and English languages as verbal act- Other secretarial works as assigned""]","['s:-Bachelor of Arts, Liberal Arts, Mass Communication, Translation or related fields(Graduated with Major in ""Chinese and English languages"" is an advantage!)- 3 - 5 years of working experience in Secretary and Coordinator Roles- Service-mind, Supportive, Well-Organized, Hands-on, and Good communication & people skills- Excellent command in Chinese and English languages with HSK Certificate(Chinese Proficiency Test) and TOEIC SCORE is a plus! ']","Responsibilities:-Provide all secretarial & administrative support functions for CEO; handle e-mails & correspondences and requests, and take care of travel arrangements such as tentative travelling schedule, hotel & accommodation reservation, and air-ticket booking etc.- Make Appointments, and manage CEO's Calendars and Business Schedules including prepare for internal and external meetings & events to ensure that the CEO’s Timetable runs smoothly.-Record and publish all Minutes after any meetings in well-timed period- Act as liaison for CEO both internal and external matters by professionallyinteract with both internal and external executive management teams and internally coordinate with every department and division-Review contracts and other business documents, and translate them from Thai to Chinese and English including instantly interpret from Thai toChinese and English languages as verbal act- Other secretarial works as assignedQualifications:-Bachelor of Arts, Liberal Arts, Mass Communication, Translation or related fields(Graduated with Major in ""Chinese and English languages"" is an advantage!)- 3 - 5 years of working experience in Secretary and Coordinator Roles- Service-mind, Supportive, Well-Organized, Hands-on, and Good communication & people skills- Excellent command in Chinese and English languages with HSK Certificate(Chinese Proficiency Test) and TOEIC SCORE is a plus!",,,False,False,3 - 5 year
HRBP - Section / Department Manager (Overseas / Based in Bangkok Office),"[('admin-hr', 'others')]",,,Salary provided,Full Time,"['Roles and Responsibilities:Understand business direction, people and key issues in overseas markets to work closely with the Line Managers and Country Manager to develop the HR strategies, provide the guidelines and implement the HR projects related to those overseas markets.Work closely with HR team on recruitment, Compensations & Benefits and HRD on various needs such as employee requests,manpower planning, training, promotions, performance reviews, etc.Support Line Managers and Country Manager in handling cases related to HR and provide HR information including labor laws, HR practices, company policies and related overseas issues.Act as key contact point for HR related issues and help the line managers to manage all HR related cases along with providing advice for proper actionsProvide communication and advices to overseas employees at all levels regarding HR activities and HR related issues.Perform other tasks as assigned  ']","['s- Bachelor or Master Degree in Human Resource Management or related fields- Male or Female, at least 28 years old- Minimum 5 year working experience in HR functions- Have knowledge in employee and labor law- Good at analytic thinking, problem-solving and communication- Self-motivated with team spirit, open-minded, goal-oriented and flexibility- Good command in English (TOEIC score:more than 800 scores)- Good command in Chinese would be an advantage- Proficiency in MS-Office ']","Roles and Responsibilities:Understand business direction, people and key issues in overseas markets to work closely with the Line Managers and Country Manager to develop the HR strategies, provide the guidelines and implement the HR projects related to those overseas markets.Work closely with HR team on recruitment, Compensations & Benefits and HRD on various needs such as employee requests,manpower planning, training, promotions, performance reviews, etc.Support Line Managers and Country Manager in handling cases related to HR and provide HR information including labor laws, HR practices, company policies and related overseas issues.Act as key contact point for HR related issues and help the line managers to manage all HR related cases along with providing advice for proper actionsProvide communication and advices to overseas employees at all levels regarding HR activities and HR related issues.Perform other tasks as assigned  Qualifications- Bachelor or Master Degree in Human Resource Management or related fields- Male or Female, at least 28 years old- Minimum 5 year working experience in HR functions- Have knowledge in employee and labor law- Good at analytic thinking, problem-solving and communication- Self-motivated with team spirit, open-minded, goal-oriented and flexibility- Good command in English (TOEIC score:more than 800 scores)- Good command in Chinese would be an advantage- Proficiency in MS-Office",,,False,False,28 years old- Minimum 5 year
Customer Service (15-18K),"[('admin-hr', 'administration-operation-clerical-support'), ('sales-cs-business-devpt', 'customer-service')]",,,Salary provided,Permanent,"[""Customer Service Staff (15-18K)Location: BangnaSalary: 15-18KResponsibilities:Responding to customer's questions on LINE and FacebookEnsure customer satisfaction and provide customer supportCoordinate with logistic team informing order status to customersSupport stock checking and shipping arrangement""]","['s:Good organizational skillsPositive attitudeExperience in customer servicePassionate in sports/ knowledgeable in sports equipmentIf you are interested, please submit your profile to Jobsdb website. Only qualified candidate will be notified for next step of recruitment processAdecco Eastern Seaboard Recruitment Ltd.190/25 Harbor Pattaya Building, Unit 10R09, 10th Floor, Moo 9 Tambol Nongprue, Amphur Banglamung, Chonburi 20260 l Tel. 038 199339 l Website:http://www.adecco.co.thContact K. Benya Tel.: 085 056 3465 ']","Customer Service Staff (15-18K)Location: BangnaSalary: 15-18KResponsibilities:Responding to customer's questions on LINE and FacebookEnsure customer satisfaction and provide customer supportCoordinate with logistic team informing order status to customersSupport stock checking and shipping arrangementQualifications:Good organizational skillsPositive attitudeExperience in customer servicePassionate in sports/ knowledgeable in sports equipmentIf you are interested, please submit your profile to Jobsdb website. Only qualified candidate will be notified for next step of recruitment processAdecco Eastern Seaboard Recruitment Ltd.190/25 Harbor Pattaya Building, Unit 10R09, 10th Floor, Moo 9 Tambol Nongprue, Amphur Banglamung, Chonburi 20260 l Tel. 038 199339 l Website:http://www.adecco.co.thContact K. Benya Tel.: 085 056 3465",,,False,False,
