job_title,job_categories,career_level,experience_year,salary,employment_type,job_responsibilities,job_qualifications,job_description
         3D Visualizer (Chonburi) (56074)        ,"[('design', 'interior')]",            Entry Level           ,            4 years experience           ,           Salary provided                       ,"          Full Time, Permanent         ",[],[],"Salary : 20,000 - 45,000 THBIndustry : ManufacturingLocation : LaemchabangWork Type : Mon - Sat 09:00 AM - 18:00 PM Working On SaturdayJob description Design architectural tasks.Plan projects and control architectural constructions or related.Inspect planning including to proceed architectural construction permission process lawfully.Research for architectural design.Analyze architectural researches.Estimate cost of architectural construction.Other assigned tasks.General qualification Male or FemaleAge 25-35 years oldBachelor's degree or higher in Interior DesignAt least 4 years of experience in interior projects or similar industriesGood command in English communicationAble to use 3D Max, CORANABenefit package <Benefit>Social securityOthers<Salary adjustment>once(twice) a yearContact (ติดต่อ)Ms. Rungarun K.Time: 8.30 am-5.30pmOffice Number: 038-111256 Ext.103Website :http://www.reeracoen.co.thInstagram : reeracoenthailandFacebook : Reeracoen Recruitment "
         Graphic Designer         ,"[('design', 'graphics'), ('design', 'multi-media'), ('design', 'others')]",            Entry Level           ,            2 years experience           ,           Salary negotiable                       ,"          Full Time, Permanent         ","['Responsible for:Create and develop print media and collateral materials to enhance brand imageHandle graphic design for catalogs, window display and POP materialsCoordinate to produce accurate and high quality of marketing materials such as direct mail, newsletters, invitations, vouchers and couponsComplete any subsequent requests for changes and adjustments under time constraintWork closely with marketing team to support all projects']","['sMale/Female, Age 24- 30 years oldThai NationalityBachelor’s Degree in communication art, graphic design or any related fieldsAt least 5 years experience in graphic designProficient skills in Adobe Illustrator, Photoshop, 3D studioExperience in PHP, HTML, Java Script, Dreamweaver, Flash, AJAX will be an advantageStrong knowledge of corporate identity and brandingAble to work well under pressure and tight deadlineSelf motivated, high responsibility and matureInterested applicants, please email your resume in English with a recent photo, Portfolio and expected salary via""Apply Now""Jubilee Enterprise Public Company Limited179 Bangkok City Tower, 10thFloor, South-Sathorn Rd.,Thungmahamek,Sathorn, Bangkok 10120Office. +66 (0) 2-625 1188Website :www.jubileediamond.co.thOnly short-listed candidate will be notified for further process ']","Responsible for:Create and develop print media and collateral materials to enhance brand imageHandle graphic design for catalogs, window display and POP materialsCoordinate to produce accurate and high quality of marketing materials such as direct mail, newsletters, invitations, vouchers and couponsComplete any subsequent requests for changes and adjustments under time constraintWork closely with marketing team to support all projectsQualificationsMale/Female, Age 24- 30 years oldThai NationalityBachelor’s Degree in communication art, graphic design or any related fieldsAt least 5 years experience in graphic designProficient skills in Adobe Illustrator, Photoshop, 3D studioExperience in PHP, HTML, Java Script, Dreamweaver, Flash, AJAX will be an advantageStrong knowledge of corporate identity and brandingAble to work well under pressure and tight deadlineSelf motivated, high responsibility and matureInterested applicants, please email your resume in English with a recent photo, Portfolio and expected salary via""Apply Now""Jubilee Enterprise Public Company Limited179 Bangkok City Tower, 10thFloor, South-Sathorn Rd.,Thungmahamek,Sathorn, Bangkok 10120Office. +66 (0) 2-625 1188Website :www.jubileediamond.co.thOnly short-listed candidate will be notified for further process "
         UX/UI Designer        ,"[('design', 'fashion'), ('design', 'multi-media'), ('design', 'web-design')]",            Entry Level           ,            2 years experience           ,           Salary negotiable                       ,          Full Time         ,"['Responsibilities:Illustrate design ideas using storyboards, process flows and sitemaps and rough drafts to internal teams and key stakeholders.Adhere to style standards on fonts, colors and images.Create original graphic designs (e.g. images, sketches and tables).Produce final design solutions (e.g. logos, banners, interfaces).Design and build user interface elements, like menus, tabs, widgets, page navigation buttons and search fields.']","[""s:Bachelor's degree in a Design, Art, Graphic Design, Multimedia Design or other related fields1-2 years of working experience in graphic designStrong ability of using Adobe Creative Suite and other Design Tools (ex. Photoshop, Illustrator)Able to work as a good team member and autonomously.Able to work under pressure and time constraintPortfolio that represents a range of design styles, diversity of projects, branding and a clear personal aestheticExperience with design software ( e.g. InVision, XD, Sketch, PSD, AI ) and graphics editing tools (e.g. Photoshop, Illustrator).Able to communicate in EnglishBe service-minded and enthusiasticFresh Graduates are welcome ""]","Responsibilities:Illustrate design ideas using storyboards, process flows and sitemaps and rough drafts to internal teams and key stakeholders.Adhere to style standards on fonts, colors and images.Create original graphic designs (e.g. images, sketches and tables).Produce final design solutions (e.g. logos, banners, interfaces).Design and build user interface elements, like menus, tabs, widgets, page navigation buttons and search fields.Qualifications:Bachelor's degree in a Design, Art, Graphic Design, Multimedia Design or other related fields1-2 years of working experience in graphic designStrong ability of using Adobe Creative Suite and other Design Tools (ex. Photoshop, Illustrator)Able to work as a good team member and autonomously.Able to work under pressure and time constraintPortfolio that represents a range of design styles, diversity of projects, branding and a clear personal aestheticExperience with design software ( e.g. InVision, XD, Sketch, PSD, AI ) and graphics editing tools (e.g. Photoshop, Illustrator).Able to communicate in EnglishBe service-minded and enthusiasticFresh Graduates are welcome "
"         Design Engineer (Auto cad, Solid Work)[20K-30K][Job ID: 55460]        ","[('design', 'industrial-product'), ('engineering', 'others'), ('others', 'student-fresh-graduate-no-experience')]",            Entry Level           ,,           Salary provided                       ,"          Full Time, Permanent         ",[],[],"Salary: 20,000 - 30,000 THBIndustry: Trading FirmLocation: Silom Rd., Silom, Bang Rak, BangkokWork Type: Mon.-Fri. 08.30 - 17.30Job description:Responsible for design the robot and equipment using Auto CAD or SolidworksHave a meeting with the customer and understand their requirementDesign products and system based on the requirementMake a suggestion for a customer in needInvestigate about productsOther related tasks as assignedGeneral qualification:Female only, Thai nationality, age between 22-25Bachelor's degree in a related fieldNew graduates are welcomeGood command of English (conversational level)Able to use Auto cad and Solid workHold a driver's license and have a private carBenefit package:Car Allowance:8,000 THB/monthSocial securityBONUS(Dec,average 3 months)Group insuranceCompany trip (Next year in Japan)New year partyContact (ติดต่อ)Time: 8.30 am-5.30pmOffice Number: 02-6532700Website : http://www.reeracoen.co.thInstagram : reeracoenthailandFacebook : Reeracoen Recruitmen "
         Mechanical Design Engineer (Pathum Thani) (25K-50K) [Job ID:54296]        ,"[('design', 'others'), ('engineering', 'mechanical')]",            Entry Level           ,            2 years experience           ,           Salary provided                       ,"          Full Time, Permanent         ",[],[],"Salary : 25,000 - 50,000 THBIndustry : Manufacturing(Electronics/Semiconductors)Location : Klong Nueng, Klong Luang (Pathumthani)Work Type : Mon-Fri 8:30－17:30Job descriptionsCoordinate with related department to design MDB structureDesign MDB panel as per request projectOther related tasks as assignedGeneral qualificationsMale or Female, Thai or Japanese nationality, age between 25-35Bachelor's Degree in Mechanical EngineeringWork experience, minimum 2 years as Mechanical design engineerAble to use Auto CAD 2D/3D, solid workGood command of English (business level)Able to work on Saturday (once or twice per month)Benefit package Perfect Attendance IncentivesCost of Living AllowancesMeal AllowancePosition AllowanceProvident FundHealth & Group InsuranceNew Year PartyRecreational ActivitiesUniformBONUSTransportation SupportOthersContact (ติดต่อ)Time: 8.30 am-5.30pmOffice Number: 02-2539800Website :http://www.reeracoen.co.thInstagram : reeracoenthailandFacebook : Reeracoen Recruitment "
         Graphic Designer (Social Media)        ,"[('design', 'graphics'), ('design', 'web-design'), ('marketing-public-relations', 'digital-marketing')]",            Middle level           ,,"           THB25,000 - 35,000 /month                     ",          Permanent         ,"[' Graphic Designer Responsibilities:Being responsible for all the designing multiple types of marketing graphic design and artworks both Online & Offline media; Brand corporate design, Printed Material, Digital Images, for all marketing activities and keeping with the direction of brand and company image and concept.Proposing a design concept and be able to translate from concept to visual to align with brand standard.Presenting and developing new Idea formats of online & offline mediaReporting directly to Marketing Manager.Social Media Associate: Posting and managing social media channels.Following up on the statistics and optimize content and engagement.Enhancing online marketing and brand experiences.Reporting directly to the Marketing Manager.']","['s:Thai Nationality only.Bachelor’s Degree in Communication Art, Fine Art, Applied Art or related fields.Previous experience in creative, artwork, graphic design roles.Proficient in Mac OS, Adobe Illustrator, Photoshop, InDesign, and After Effects.Good knowledge in the printing process is preferred.Good knowledge of photographing and video graphing is preferred.Have experience in-house production is an advantage. Advanced understanding of Social Media Management (i.e. social media management tools and trend)International experience is preferred.Active, creative thinker, able to work independently and as part of a team, hard-working and has initiative.Good command of English is a must.Our client will provide a remuneration package, including basic salary, social security fund, life insurance, group insurance and variable bonus. ']"," Graphic Designer Responsibilities:Being responsible for all the designing multiple types of marketing graphic design and artworks both Online & Offline media; Brand corporate design, Printed Material, Digital Images, for all marketing activities and keeping with the direction of brand and company image and concept.Proposing a design concept and be able to translate from concept to visual to align with brand standard.Presenting and developing new Idea formats of online & offline mediaReporting directly to Marketing Manager.Social Media Associate: Posting and managing social media channels.Following up on the statistics and optimize content and engagement.Enhancing online marketing and brand experiences.Reporting directly to the Marketing Manager.Qualifications:Thai Nationality only.Bachelor’s Degree in Communication Art, Fine Art, Applied Art or related fields.Previous experience in creative, artwork, graphic design roles.Proficient in Mac OS, Adobe Illustrator, Photoshop, InDesign, and After Effects.Good knowledge in the printing process is preferred.Good knowledge of photographing and video graphing is preferred.Have experience in-house production is an advantage. Advanced understanding of Social Media Management (i.e. social media management tools and trend)International experience is preferred.Active, creative thinker, able to work independently and as part of a team, hard-working and has initiative.Good command of English is a must.Our client will provide a remuneration package, including basic salary, social security fund, life insurance, group insurance and variable bonus. "
         Web Developer (Front-End & Back-End)        ,"[('design', 'web-design'), ('information-technology', 'dba'), ('information-technology', 'internet-seo')]",            Entry Level           ,            2 years experience           ,           Salary provided                       ,"          Contract, Full Time, Permanent         ","[' Key ResponsibilitiesBeing responsible for the production, modification, and maintenance of a website and web application.Working with teams and managing time across multiple projects and tasks in a deal line-driven way.Providing design, consulting, coordination and technology selection that is appreciated by business needs.Implementing necessary technology and providing technical support and technical quality control.Maintaining, monitoring, providing diagnosis and troubleshoot daily issues between the related party.Performing new technology to support the business and maintaining quality service by establishing and enforcing organization standards.']","['s Thai nationality only, Age not over 35 years old.Bachelor’s Degree in Computer Science, Computer Engineering, IT or any related fields.Minimum 2 -5 years of experience in Software Development, Web Developer, Programmer, or related fields.Multitask skill and problem-solving characteristics.Good service mind, fast learning and positive thinking.For Front-end:Proficiency in PHP, JavaScript, CSS, HTML, ReactJS, NextJS, MongoDB, MySQLFor Back-end: Proficiency in PHP, HTML, NodeJS, MongoDB, MySQL, and basic DevOps skills. ']"," Key ResponsibilitiesBeing responsible for the production, modification, and maintenance of a website and web application.Working with teams and managing time across multiple projects and tasks in a deal line-driven way.Providing design, consulting, coordination and technology selection that is appreciated by business needs.Implementing necessary technology and providing technical support and technical quality control.Maintaining, monitoring, providing diagnosis and troubleshoot daily issues between the related party.Performing new technology to support the business and maintaining quality service by establishing and enforcing organization standards.Qualifications Thai nationality only, Age not over 35 years old.Bachelor’s Degree in Computer Science, Computer Engineering, IT or any related fields.Minimum 2 -5 years of experience in Software Development, Web Developer, Programmer, or related fields.Multitask skill and problem-solving characteristics.Good service mind, fast learning and positive thinking.For Front-end:Proficiency in PHP, JavaScript, CSS, HTML, ReactJS, NextJS, MongoDB, MySQLFor Back-end: Proficiency in PHP, HTML, NodeJS, MongoDB, MySQL, and basic DevOps skills. "
          Graphic Design & Marketing         ,"[('design', 'web-design'), ('marketing-public-relations', 'management'), ('marketing-public-relations', 'marketing-communication')]",            Entry Level           ,            1 year experience           ,"           THB25,000 - 30,000 /month                     ",          Permanent         ,"[' ResponsibilitiesCreating the marketing and advertising materials needed to promote the products that the company sells.Creating a range of collaterals such as catalogues, brochures, data sheets, and other promotional materials to be uploaded to the website.Creating verbal content for the website or social media, ads and campaigns, or using approved content from the APAC – Head of Field Marketing.Contributing to the top-level and detailed design of the website (or e-newsletter, etc.), with a particular focus on the ways in which the goals for the site and the needs of users can be met through the provision of appropriate content.Preparing and producing graphic designs, concepts, and layouts for packaging, print and digital applications. Expertise in all channels is not required but a familiarity and a willingness to learn is essential for success.Managing and maintaining graphic files, including logos, photos and art (and related licenses and permissions), and at the same time, making sure that the brand remains consistent across digital and print media.Utilizing project management skills; Consulting with the Head of Field Marketing to define project requirements, communicate status, and suggest improvements as needed.Preparing work to specification for print or digital application, verifying the accuracy of proofs and monitoring quality throughout projects. Supervising pre-press approvals when required.Helping manage and coordinate major distributor/customer events.Collaborating with the Head of Field Marketing to innovate and offer problem-solving solutions.Preparing monthly summary reports of the project pipeline status.']","['sBachelor’s Degree in a creative field (Computer Science, Fine Arts or any related course).Aged 25-35 years old. M/F.Minimum of 1-3 years’ experience in design work.Excellent skills in Adobe Creative Suites.Excellent skills in social media platforms and an understanding of the current social media landscape and trends.Ability to conceptualize compelling and creative concepts within brand standards.Excellent organizational, interpersonal, critical thinking, and communication skills.Fair to good English skills.Having own car .Ability to handle multiple projects in a fast-paced environment with a healthy respect for deadlines. ']"," ResponsibilitiesCreating the marketing and advertising materials needed to promote the products that the company sells.Creating a range of collaterals such as catalogues, brochures, data sheets, and other promotional materials to be uploaded to the website.Creating verbal content for the website or social media, ads and campaigns, or using approved content from the APAC – Head of Field Marketing.Contributing to the top-level and detailed design of the website (or e-newsletter, etc.), with a particular focus on the ways in which the goals for the site and the needs of users can be met through the provision of appropriate content.Preparing and producing graphic designs, concepts, and layouts for packaging, print and digital applications. Expertise in all channels is not required but a familiarity and a willingness to learn is essential for success.Managing and maintaining graphic files, including logos, photos and art (and related licenses and permissions), and at the same time, making sure that the brand remains consistent across digital and print media.Utilizing project management skills; Consulting with the Head of Field Marketing to define project requirements, communicate status, and suggest improvements as needed.Preparing work to specification for print or digital application, verifying the accuracy of proofs and monitoring quality throughout projects. Supervising pre-press approvals when required.Helping manage and coordinate major distributor/customer events.Collaborating with the Head of Field Marketing to innovate and offer problem-solving solutions.Preparing monthly summary reports of the project pipeline status.QualificationsBachelor’s Degree in a creative field (Computer Science, Fine Arts or any related course).Aged 25-35 years old. M/F.Minimum of 1-3 years’ experience in design work.Excellent skills in Adobe Creative Suites.Excellent skills in social media platforms and an understanding of the current social media landscape and trends.Ability to conceptualize compelling and creative concepts within brand standards.Excellent organizational, interpersonal, critical thinking, and communication skills.Fair to good English skills.Having own car .Ability to handle multiple projects in a fast-paced environment with a healthy respect for deadlines. "
         Motion Designer /Near BTS        ,"[('design', 'multi-media'), ('design', 'web-design')]",            Entry Level           ,            4 years experience           ,           Salary provided                       ,"          Full Time, Permanent         ",[],[],"Position: Senior 2D/3D Motion DesignerLocation : Near BTSWorking hour: Mon-Fri, 8:30-17:30Job Description:Create 3D/2D animation in the computer and modify the design if requiredConcept development independently and in teamsDraw sketches and develop storyboard Explain complex ideas or processes through visual storytellingPerform in Pre-Production, Production, and Post-production in creating 2D/3D animated videoDesign and build compelling high quality animations and video productions.Add background, sound, texture, colors, lighting and other attributes to an animationEdit and fine tune the animation sequence and ensure that the final product meets the project requirementsCoordinate with other production staff in pre-production planning, production, and post-production.Requirements:Thai nationalityMust have at least 4+ years experience in creating 2D/3D animated video with proven worksExcellent skills with modern design tools (Cinema4D, Maya, Photoshop, Illustrator, Premiere, After Effects etc.)Excellent skills in Cinema4D would be plusGood understanding of the principles of animation.Have a strong skill set in animated content and compositingHaving capacity and skills to work both independently and as a part of a teamWilling to support other tasks in the production team.Communicable English skill Benefits :Health insurance (OPD&IPD) Travel allowance Social Security  "
         Graphic Designer (Fashion)        ,"[('design', 'fashion'), ('design', 'graphics'), ('design', 'visual-merchandising')]",            Entry Level           ,            3 years experience           ,"           THB20,000 - 25,000 /month                     ","          Full Time, Permanent         ",[],[],"หน้าที่ความรับผิดชอบรับผิดชอบงานออกแบบ Artwork ในสื่อสิ่งพิมพ์ บรรจุภัณฑ์ เว็บไซต์ โลโก้ VM/Display Support หรืออื่น ๆ ที่ได้รับมอบหมาย เพื่อสนับสนุนงานสื่อสารการตลาดควบคุมดูแลการออกแบบและภาพลักษณ์ให้สอดคล้องกับแบรนด์ สามารถสร้างและทำงานภายใต้ Concept ที่วางไว้ได้ถ่ายรูปผลิตภัณฑ์ และตกแต่งสร้างสรรค์ภาพตาม Conceptสั่งทำสื่อสิ่งพิมพ์ สื่อประชาสัมพันธ์ต่าง ๆดูแลเว็บไซต์ Facebook Instagram ตามได้รับมอบหมายคุณสมบัติเพศหญิง อายุ 25 ปีขึ้นไปสำเร็จการศึกษาระดับปริญญาตรีขึ้นไป สาขาคอมพิวเตอร์กราฟฟิกดีไซน์ สาขานิเทศศาสตร์,นิเทศศิลป์ หรือสาขาที่เกี่ยวข้องกับการออกแบบ (พิจารณาจากผลงาน Portfolio และประสบการณ์การผ่านงาน)สามารถใช้โปรแกรมด้านออกแบบกราฟฟิก เช่น Photoshop, Illustrator และโปรแกรมที่เกี่ยวข้อง ได้เป็นอย่างดีมาก ถ้าตัดต่อวิดีโอได้จะพิจารณาเป็นพิเศษมีประสบการณ์ด้านการออกแบบในธุรกิจแฟชั่นจะพิจารณาเป็นพิเศษมีประสบการณ์ด้านการออกแบบงานกราฟฟิกไม่น้อยกว่า 3 ปีมีความรับผิดชอบ ละเอียดรอบคอบ ขยันและอดทนในการทำงานมีความคิดริเริ่มสร้างสรรค์มีพื้นฐานภาษาอังกฤษดี**ผู้สนใจสมัครงาน Graphic Designer โปรดแนบ Portfolio มาพร้อมกับการสมัครงาน เพื่อประกอบการพิจารณานัดสัมภาษณ์งาน "
